,Name,MRP,Discounted Price,Manufacturer
0,Blisto 4Mf Tablet 10'S,167.64,137.46,Mkt: Biocon Ltd
1,Bilovas Tablet 10'S,289.00,236.98,Mkt: Cadila Healthcare Ltd (Zydus)
2,Betacard 50mg Tablet 14'S,30.95,25.38,Mkt: Torrent Pharmaceuticals Ltd
3,Bigfun Mint Cool Flavour Jelly 5gm,32.00,22.40,Mkt: Leeford Healthcare Ltd (Generics)
4,Biluma Skin Brightening Cream 15gm,620.00,533.20,Mkt: Galderma India Pvt Ltd
5,BIO D3 DS Capsule 10'S,256.50,210.33,Mkt: Macleods Pharmaceuticals Pvt Ltd
6,Bonmin K2 Tablet 10'S,280.00,229.60,Mkt: Micro Labs Ltd
7,Bisoheart 2.5mg Tablet 10'S,55.65,45.63,Mkt: Mankind Pharma Pvt Ltd
8,Beniduce 4mg Tablet 10'S,45.75,37.52,Mkt: Macleods Pharmaceuticals Pvt Ltd
9,BD Ultra Fine Mini Pen Needle 5's,88.00,81.84,Mkt: Becton Dickinson (I) Pvt Ltd
10,Bosentas 62.5mg Tablet 10'S,1036.17,849.66,Mkt: Cipla Ltd
11,Betacap 20mg Tablet 10'S,35.72,29.29,Mkt: Sun Pharmaceutical Industries Ltd
12,Biselect 2.5mg Tablet 10'S,37.00,30.34,Mkt: Intas Pharmaceuticals Ltd
13,Bifilac Capsule 10'S,129.50,106.19,Mkt: Tablets India Ltd
14,Biopreg F Tablet 10'S,85.00,69.70,Mkt: Mankind Pharma Pvt Ltd
15,Bigomet 500mg Tablet 10'S,12.07,9.90,Mkt: Aristo Pharmaceuticals Pvt Ltd
16,BON DK Shot 60000IU Sugar Free Oral Solution 5ml,103.50,84.87,Mkt: INTEGRACE PVT LTD
17,Baclof 10mg Tablet 10'S,124.85,102.38,Mkt: Intas Pharmaceuticals Ltd
18,B Active Tablet 15'S,284.00,232.88,Mkt: Delvin Formulations Pvt Ltd
19,Blisto 1Mf Tablet 10'S,100.93,82.76,Mkt: Biocon Ltd
20,Betacap TR 80mg Capsule 10'S,71.65,58.75,Mkt: Sun Pharmaceutical Industries Ltd
21,BETADINE MINT Gargle 100ml,277.00,227.14,Mkt: Win Medicare Pvt Ltd
22,Brinzox Eye Drops 5ml,513.00,420.66,Mkt: Ajanta Pharma Ltd
23,Bisoheart AM 5mg Tablet 10'S,99.90,81.92,Mkt: Mankind Pharma Pvt Ltd
24,Budesal 0.5mg Respule 5X2ml,241.55,198.07,Mkt: Cipla Ltd
25,Bevon Drops 15ml,53.60,43.95,Mkt: Zuventus Healthcare Ltd
